
2024/08/05 (10:45:21) | ===> btop++ v.1.3.2
2024/08/05 (10:45:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/05 (10:45:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (11:06:33) | ===> btop++ v.1.3.2
2024/08/06 (11:06:33) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/06 (11:06:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (14:43:45) | ===> btop++ v.1.3.2
2024/08/07 (14:43:45) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/08/07 (14:43:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/04 (13:45:46) | ===> btop++ v.1.3.2
2024/09/04 (13:45:46) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/09/04 (13:45:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/29 (12:58:24) | ===> btop++ v.1.4.0
2025/01/29 (12:58:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/01/29 (12:58:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
